Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 19 - 9 - 2017,Liga,FC Barcelona,Eibar,Eibar,59,4,1,Field goal,Left foot,Won
 21 - 5 - 2017,Liga,FC Barcelona,Eibar,Eibar,76,3,2,Penalty,Left foot,Won
 6 - 5 - 2017,Liga,FC Barcelona,Villarreal,Villarreal,82,4,1,Penalty,Left foot,Won
 6 - 5 - 2017,Liga,FC Barcelona,Villarreal,Villarreal,45,2,1,Field goal,Left foot,Won
 26 - 4 - 2017,Liga,FC Barcelona,Osasuna,Osasuna,61,4,1,Field goal,Left foot,Won
 19 - 3 - 2017,Liga,FC Barcelona,Valencia,Valencia,45,2,1,Penalty,Left foot,Won
 19 - 2 - 2017,Liga,FC Barcelona,Leganes,Leganes,89,2,1,Penalty,Left foot,Won
 18 - 12 - 2016,Liga,FC Barcelona,Espanyol,Espanyol,90,4,1,Field goal,Left foot,Won
 20 - 8 - 2016,Liga,FC Barcelona,Real Betis,Real Betis,57,5,1,Field goal,Left foot,Won
 20 - 8 - 2016,Liga,FC Barcelona,Real Betis,Real Betis,37,2,1,Field goal,Left foot,Won
 28 - 2 - 2016,Liga,FC Barcelona,Sevilla,Sevilla,31,1,1,Free kick,Left foot,Won
 30 - 1 - 2016,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,30,1,1,Field goal,Left foot,Won
 20 - 9 - 2015,Liga,FC Barcelona,Levante,Levante,90,4,1,Solo run,Left foot,Won
 11 - 1 - 2015,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,87,3,1,,Left foot,Won
 7 - 12 - 2014,Liga,FC Barcelona,Espanyol,Espanyol,45,1,1,,Left foot,Won
 22 - 11 - 2014,Liga,FC Barcelona,Sevilla,Sevilla,78,5,1,,Left foot,Won
 20 - 4 - 2014,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,74,2,1,Free kick,Left foot,Won
 1 - 2 - 2014,Liga,FC Barcelona,Valencia,Valencia,54,2,2,Penalty,Left foot,Lost
 5 - 5 - 2013,Liga,FC Barcelona,Real Betis,Real Betis,71,4,2,,Left foot,Won
